Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation

Baseline, 359.9720610676779, 779.223, 779.223

Trainning, 157.522, 411.09814879, 410.525

Validation, 133.810, 268.277, 267.820

Test Output Mean, 142.999, 365.114, 364.973

Test Output 1, 133.30316164150722, 351.1715709535573,351.0797100669839
Test Output 2, 138.9920306762252,359.7914266148808,359.69437107700634
Test Output 3, 143.74894460561515,366.34118984788296,366.2023565390211
Test Output 4, 148.02800158787977,372.76254728359106,372.6103916670267
Test Output 5, 150.92246781635126,375.5024418920404,375.2763298822991









