Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,107.659,322.565,321.847
Validation,107.305,231.406,230.470
Test Output 1,69.36152524645277,224.4278403916795,224.35192817981195
Test Output 2,95.80619712464139,283.63540767620844,283.2202072560513
Test Output 3,110.13488910820458,311.3106703351499,310.7551855171249
Test Output 4,119.41949872077045,327.3354086757999,326.75301635325485
Test Output 5,126.779467587949,339.93847514328604,339.33930120912316
Test Output Mean,104.30031555760362,297.32956044442477,296.88392770307325
